cod,nome,sigla,regiao
1,Rio Grande do Sul,RS,Sul
2,São Paulo,SP,Sudeste
3,Amazonas,AM,Norte
4,Bahia,BA,Nordeste
5,Distrito Federal,DF,Centro-Oeste
